id,name,totalGrainPaid,Sun Jul 31 2022,Sun Jul 24 2022,Sun Jul 17 2022,Sun Jul 10 2022,Sun Jul 03 2022,Sun Jun 26 2022,Sun Jun 19 2022,Sun Jun 12 2022,Sun Jun 05 2022,Sun May 29 2022,Sun May 22 2022,Sun May 15 2022,Sun May 08 2022,Sun May 01 2022,Sun Apr 24 2022,Sun Apr 17 2022,Sun Apr 10 2022,Sun Apr 03 2022,Sun Mar 27 2022,Sun Mar 20 2022,Sun Mar 13 2022,Sun Mar 06 2022,Sun Feb 27 2022,Sun Feb 20 2022,Sun Feb 13 2022,Sun Feb 06 2022,Sun Jan 30 2022,Sun Jan 23 2022,Sun Jan 16 2022,Sun Jan 09 2022,Sun Jan 02 2022,Sun Dec 26 2021,Sun Dec 19 2021,Sun Dec 12 2021,Sun Dec 05 2021,Sun Nov 28 2021,Sun Nov 21 2021,Sun Nov 14 2021,Sun Nov 07 2021,Sun Oct 31 2021,Sun Oct 24 2021,Sun Oct 17 2021,Sun Oct 10 2021,Sun Oct 03 2021,Sun Sep 26 2021,Sun Sep 19 2021,Sun Sep 12 2021,Sun Sep 05 2021,Sun Aug 29 2021,Sun Aug 22 2021,Sun Aug 15 2021,Sun Aug 08 2021,Sun Aug 01 2021,Sun Jul 25 2021,Sun Jul 18 2021,Sun Jul 11 2021,Sun Jul 04 2021,Sun Jun 27 2021,Sun Jun 20 2021,Sun Jun 13 2021,Sun Jun 06 2021,Sun May 30 2021,Sun May 23 2021,Sun May 16 2021,Sun May 09 2021,Sun May 02 2021,Sun Apr 25 2021,Sun Apr 18 2021,Sun Apr 11 2021,Sun Apr 04 2021,Sun Mar 28 2021,Sun Mar 21 2021,Sun Mar 14 2021,Sun Mar 07 2021,Sun Feb 28 2021,Sun Feb 21 2021,Sun Feb 14 2021,Sun Feb 07 2021,Sun Jan 31 2021,Sun Jan 24 2021,Sun Jan 17 2021,Sun Jan 10 2021,Sun Jan 03 2021,Sun Dec 27 2020,Sun Dec 20 2020,Sun Dec 13 2020,Sun Dec 06 2020,Sun Nov 29 2020,Sun Nov 22 2020,Sun Nov 15 2020,Sun Nov 08 2020,Sun Nov 01 2020,Sun Oct 25 2020,Sun Oct 18 2020,Sun Oct 11 2020,Sun Oct 04 2020,Sun Sep 27 2020,Sun Sep 20 2020,Sun Sep 13 2020,Sun Sep 06 2020,Sun Aug 30 2020,Sun Aug 23 2020,Sun Aug 16 2020,Sun Aug 09 2020,Sun Aug 02 2020,Sun Jul 26 2020,Sun Jul 19 2020,Sun Jul 12 2020,Sun Jul 05 2020,Sun Jun 28 2020,Sun Jun 21 2020,Sun Jun 14 2020,Sun Jun 07 2020,Sun May 31 2020,Sun May 24 2020,Sun May 17 2020,Sun May 10 2020,Sun May 03 2020,Sun Apr 26 2020,Sun Apr 19 2020,Sun Apr 12 2020,Sun Apr 05 2020,Sun Mar 29 2020
BOpBtopaQXL8lQeTmted3A,Tamara,2763.0759571585672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.85674837744175,0,0,0,0,0,0,0,0,0,0,0,146.4074803237185,0,338.80130292123175,0,0,0,506.170764275906,0,327.6849032729169,0,376.3819889133671,417.11352892680753,0,0,0,391.28656228602455,0,0,0,0,76.42303543875718,80.94964242239605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ET0yY6EZd8gYCWBNobntGw,Griff,2442.1778771192066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.25413725318916,0,0,0,0,0,0,0,0,0,0,0,122.87575524638038,0,329.98997838345707,0,0,0,288.09687943765437,0,379.26392576290624,0,272.15298910886895,203.39826589122316,0,0,0,198.23679288806906,0,0,0,0,272.1844804277179,259.72467271974017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ap2sqiWg4qMj36zgeANKg,JessicaZartler,1808.9595809692307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.170311413527868,0,0,0,0,0,0,0,0,0,0,0,60.85999789039333,0,249.35570576325094,0,0,0,175.11940013655922,0,200.69563758449624,0,254.01995679177762,249.9962098526005,0,0,0,273.0668774933672,0,0,0,0,172.82124684404852,163.8542371992092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XCvAJKrkF9714dUKaUZExg,liviade,1291.3074239406053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.3599299543188,0,0,0,0,0,0,0,0,0,0,0,37.09126918129182,0,152.43655189004016,0,0,0,143.75599949112097,0,143.5931231261005,0,115.11722055093155,76.2973027172641,0,0,0,74.41056037094374,0,0,0,0,174.17043490629754,159.07503175229627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sGrwHA6gJEhDAErTGMcq0w,markop,1252.307877002183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.340525823646494,0,0,0,0,0,0,0,0,0,0,0,37.02308994737633,0,42.95287778820544,0,0,0,126.01272285805713,0,182.43993385545133,0,271.3412328331711,355.1958833876465,0,0,0,203.98336982236404,0,0,0,0,14.343473052869252,13.674767633395142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OYPr6j4d4IlPBlfwmnmWNg,sem,1017.1949463000141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.94038935925926,0,0,0,0,0,0,0,0,0,0,0,50.03044759545782,0,115.19780678857288,0,0,0,157.00698132630095,0,122.2880471658141,0,33.138567695500385,29.45296761626845,0,0,0,42.93211097700512,0,0,0,0,211.26904882441698,197.93857895141815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GZcrLnnCM7qtee2QxoMF9g,Zeptimus,869.9580598310606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.8601642534524,0,0,0,0,0,0,0,0,0,0,0,52.70586135669081,0,145.08130836785463,0,0,0,54.987230750941805,0,50.57533185464492,0,104.90521439009099,135.05705575432296,0,0,0,96.0274911701281,0,0,0,0,15.403291256993732,13.355110675940288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YZFeL0BE1YdlCdiZULyZcQ,freedumbs00,754.1545386885772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009646943550673559,0,0,0,0,0,0,0,0,0,0,0,4.107864857061603,0,11.774120716364425,0,0,0,84.4449865852982,0,147.80566284729102,0,116.91180356087054,110.80520054674402,0,0,0,155.6272723207344,0,0,0,0,58.672838736520205,63.99514157414201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ip2eEaDGiz7ydHaUOAJetA,ygg-anderson,743.496438353387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.51858854970709,0,0,0,0,0,0,0,0,0,0,0,39.52569560614588,0,40.74099960520451,0,0,0,42.11467563814303,0,17.701906667009833,0,24.48590694943812,22.927353799061706,0,0,0,41.57886020044261,0,0,0,0,237.38658098147013,213.51587035676417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duekPnf8mUPCXp5ygxFEzg,JuankBell,708.0183953093584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.47095190459148,0,0,0,0,0,0,0,0,0,0,0,27.431319514353763,0,36.88230583758735,0,0,0,88.47719681607225,0,109.16441782621926,0,44.74014866074637,44.20049057889244,0,0,0,41.42459038725895,0,0,0,0,116.47086155570368,144.75611222793293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
